date,date_year,date_month,date_day,date_quarter,date_is_month_start,date_is_month_end,returns_prc,day_num,lag_4_high_low_diff,lag_4_open_close_diff,lag_4_volume,lag_4_adj_close,lag_5_high_low_diff,lag_5_open_close_diff,lag_5_volume,lag_5_adj_close,high_low_diff_mean,high_low_diff_std,open_close_diff_mean,open_close_diff_std,volume_mean,volume_std,adj_close_mean,adj_close_std,high_low_diff,lag_1_high_low_diff,lag_2_high_low_diff,lag_3_high_low_diff,open_close_diff,lag_1_open_close_diff,lag_2_open_close_diff,lag_3_open_close_diff,volume,lag_1_volume,lag_2_volume,lag_3_volume,adj_close,lag_1_adj_close,lag_2_adj_close,lag_3_adj_close
2021-12-17,2021,12,17,4,0,0,1.961,1112,0.24,0.06,279100.0,4.6,0.47,0.26,283100.0,4.7,0.412,0.12,0.076,0.158,457360.0,133800.142,4.272,0.219,-0.434,1.151,0.651,0.067,-0.985,1.414,-0.859,0.53,-0.256,1.284,0.635,-0.33,-0.875,-0.966,0.219,0.128
2021-12-20,2021,12,20,4,0,0,3.202,1113,0.42,0.16,413200.0,4.3,0.24,0.06,279100.0,4.6,0.408,0.127,0.038,0.184,489360.0,93603.835,4.164,0.134,-1.478,-0.377,1.117,0.645,-0.914,-0.642,1.425,-0.533,-0.537,-0.708,1.493,0.566,-0.778,-0.628,-0.778,1.167
2021-12-21,2021,12,21,4,0,0,3.738,1114,0.49,-0.06,542300.0,4.32,0.42,0.16,413200.0,4.3,0.38,0.139,-0.026,0.186,476140.0,110238.868,4.16,0.129,-0.721,-1.153,-0.144,1.225,-0.719,-0.558,-0.29,1.748,-1.171,-0.336,-0.481,1.388,0.931,-0.776,-0.621,-0.776
2021-12-22,2021,12,22,4,0,0,0.0,1115,0.55,0.3,629100.0,4.06,0.49,-0.06,542300.0,4.32,0.364,0.127,-0.014,0.186,429460.0,123801.648,4.144,0.107,0.362,-0.661,-1.134,-0.031,0.075,-0.786,-0.625,-0.355,-0.974,-0.665,0.078,-0.051,0.896,1.269,-0.784,-0.597
2021-12-23,2021,12,23,4,0,0,1.399,1116,0.36,-0.08,423100.0,4.08,0.55,0.3,629100.0,4.06,0.3,0.083,-0.086,0.062,362020.0,66395.12,4.19,0.111,-0.846,1.329,-0.242,-0.967,0.417,1.381,-1.188,-0.706,-1.056,-0.8,-0.225,1.161,0.898,0.449,0.808,-1.167
2021-12-27,2021,12,27,4,0,0,-4.423,1117,0.22,-0.13,439100.0,4.06,0.36,-0.08,423100.0,4.08,0.278,0.077,-0.034,0.135,344820.0,57105.797,4.188,0.114,-0.362,-0.621,1.708,0.026,1.587,-0.193,0.252,-0.934,-0.135,-0.927,-0.629,0.04,-1.036,0.896,0.457,0.808
2021-12-28,2021,12,28,4,0,0,-4.639,1118,0.28,-0.16,347100.0,4.28,0.22,-0.13,439100.0,4.06,0.284,0.073,0.028,0.15,350520.0,69043.551,4.152,0.176,-0.468,-0.468,-0.743,1.734,1.013,1.013,-0.586,-0.187,1.696,-0.194,-0.849,-0.603,-1.546,-0.466,0.784,0.5
2021-12-29,2021,12,29,4,0,0,-7.263,1119,0.41,0.0,308900.0,4.24,0.28,-0.16,347100.0,4.28,0.298,0.078,0.112,0.135,406420.0,141113.844,4.012,0.29,0.665,-0.614,-0.614,-0.869,1.093,0.502,0.502,-1.271,1.56,0.434,-0.491,-0.812,-1.489,-0.455,0.2,0.958
2021-12-30,2021,12,30,4,0,0,3.217,1120,0.23,-0.06,291900.0,4.29,0.41,0.0,308900.0,4.24,0.276,0.049,0.088,0.167,473520.0,161450.262,3.91,0.279,0.492,1.517,-0.533,-0.533,-1.245,1.029,0.551,0.551,1.058,0.948,-0.037,-0.845,-0.644,-1.181,-0.107,0.573
2021-12-31,2021,12,31,4,0,1,-4.558,1121,0.25,0.18,337100.0,4.07,0.23,-0.06,291900.0,4.29,0.282,0.043,0.132,0.146,509400.0,127325.351,3.754,0.227,-0.509,0.416,1.572,-0.74,0.192,-1.726,0.877,0.329,-0.299,1.06,0.92,-0.328,-1.075,-0.106,-0.767,0.555
