date,date_year,date_month,date_day,date_quarter,date_is_month_start,date_is_month_end,returns_prc,day_num,high_low_diff_mean,high_low_diff_std,open_close_diff_mean,open_close_diff_std,volume_mean,volume_std,adj_close_mean,adj_close_std,high_low_diff,lag_1_high_low_diff,lag_2_high_low_diff,lag_3_high_low_diff,open_close_diff,lag_1_open_close_diff,lag_2_open_close_diff,lag_3_open_close_diff,volume,lag_1_volume,lag_2_volume,lag_3_volume,adj_close,lag_1_adj_close,lag_2_adj_close,lag_3_adj_close
2018-01-22,2018,1,22,1,0,0,0.614,1904,0.56,0.023,-0.135,0.204,83922500.0,9985914.743,23.248,0.245,0.674,-1.149,0.475,2.44,-0.044,-0.978,1.021,-1.523,0.925,-1.061,0.137,2.266,0.774,0.355,-1.129,-0.424
2018-01-23,2018,1,23,1,0,0,-2.044,1905,0.58,0.051,0.001,0.426,82820500.0,9942367.336,23.43,0.093,1.047,-0.101,-0.946,-0.193,1.125,-0.339,-0.786,0.17,-0.084,1.04,-0.955,0.248,0.961,0.074,-1.035,-4.962
2018-01-24,2018,1,24,1,0,0,-2.512,1906,0.652,0.088,0.305,0.392,84816500.0,7344431.105,23.339,0.245,1.091,-0.217,-0.874,-1.357,0.699,0.447,-1.146,-1.632,-0.749,-0.386,1.135,-1.565,-1.138,0.736,0.402,-0.016
2018-01-25,2018,1,25,1,0,0,-3.148,1907,0.745,0.11,0.59,0.114,87466000.0,11886409.666,23.029,0.506,0.983,0.032,-1.016,-1.543,1.042,-0.089,-0.952,-6.415,1.147,-0.686,-0.461,0.479,-1.028,0.059,0.969,0.807
2018-01-26,2018,1,26,1,0,0,0.394,1908,0.718,0.153,0.399,0.429,82836000.0,16786425.61,22.808,0.278,-1.085,0.885,0.199,-0.556,-1.141,0.722,0.42,0.19,-0.878,1.088,-0.21,-0.051,0.173,-1.075,0.902,2.556
2018-01-29,2018,1,29,1,0,0,2.769,1909,0.748,0.169,-0.009,0.681,80134000.0,18227670.936,22.889,0.397,0.531,-1.154,0.622,0.004,-0.935,-0.119,1.054,0.864,-0.49,-0.661,1.15,-0.045,1.039,-0.082,-0.956,0.428
2018-01-30,2018,1,30,1,0,0,0.197,1910,0.599,0.219,-0.26,0.334,70021000.0,1685910.807,23.071,0.223,-0.877,1.089,-0.212,1.159,0.643,-1.152,0.509,2.899,0.442,0.703,-1.145,18.437,-0.074,1.035,-0.961,-2.518
2018-01-31,2018,1,31,1,0,1,1.919,1911,0.659,0.225,-0.381,0.306,78394500.0,12833792.775,23.326,0.284,0.329,-1.123,0.794,-0.474,-0.235,1.097,-0.862,0.951,1.155,-0.594,-0.56,-0.803,1.039,-0.955,-0.084,-1.653
2018-02-01,2018,2,1,1,1,0,-0.501,1912,0.625,0.189,-0.127,0.294,75647500.0,15702884.194,23.32,0.285,0.583,0.572,-1.155,1.125,0.831,-1.11,0.279,-1.764,-0.808,1.119,-0.311,-0.283,-0.127,1.058,-0.93,-0.062
2018-02-02,2018,2,2,1,0,0,-1.364,1913,0.744,0.016,-0.008,0.398,70583000.0,19942485.295,23.274,0.352,1.153,-0.515,-0.637,-20.569,0.806,0.313,-1.119,-0.094,-0.753,-0.382,1.135,0.009,-1.014,0.028,0.986,-0.622
