date,open,high,low,adj_close,volume,date_year,date_month,date_day,date_quarter,date_is_month_start,date_is_month_end,returns,returns_prc
1981-06-18,0.139509,0.140067,0.138951,0.108125,23049600,1981,6,18,2,0,0,-0.031383999999999995,-29.025664739884387
1981-06-19,0.135603,0.135603,0.135045,0.105085,27507200,1981,6,19,2,0,0,-0.030518000000000003,-29.041252319550843
1981-06-22,0.13058,0.13058,0.130022,0.101176,10841600,1981,6,22,2,0,0,-0.029404,-29.062228196410217
1981-06-23,0.132254,0.133371,0.132254,0.102913,15030400,1981,6,23,2,0,0,-0.029341000000000006,-28.51048944253885
1981-06-24,0.130022,0.130022,0.128906,0.100308,23027200,1981,6,24,2,0,0,-0.029714000000000004,-29.622761893368434
1981-06-25,0.131696,0.132254,0.131696,0.102479,24259200,1981,6,25,2,0,0,-0.029217000000000007,-28.51023136447468
1981-06-26,0.131138,0.131138,0.130022,0.101176,23788800,1981,6,26,2,0,0,-0.029962000000000003,-29.613742389499485
1981-06-29,0.126674,0.126674,0.125558,0.097703,10595200,1981,6,29,2,0,0,-0.02897100000000001,-29.6521089424071
1981-06-30,0.116629,0.116629,0.116071,0.09032,35907200,1981,6,30,2,0,1,-0.026309,-29.12865367581931
1981-07-01,0.115513,0.115513,0.114955,0.089452,170464000,1981,7,1,3,1,0,-0.026061,-29.13406072530519
1981-07-02,0.114955,0.115513,0.114955,0.089452,30284800,1981,7,2,3,0,0,-0.025502999999999998,-28.51026248714394
1981-07-06,0.112165,0.112165,0.111049,0.086413,16531200,1981,7,6,3,0,0,-0.025751999999999997,-29.801071598023444
1981-07-07,0.112165,0.113281,0.112165,0.087281,15836800,1981,7,7,3,0,0,-0.024884000000000003,-28.5102141359517
1981-07-08,0.116629,0.117188,0.116629,0.090755,16620800,1981,7,8,3,0,0,-0.025873999999999994,-28.509723982149737
1981-07-09,0.108259,0.108259,0.107701,0.083807,32883200,1981,7,9,3,0,0,-0.024451999999999988,-29.17656043051295
1981-07-10,0.099888,0.099888,0.09933,0.077294,55171200,1981,7,10,3,0,0,-0.022594000000000003,-29.231246927316484
1981-07-13,0.101563,0.102121,0.101563,0.079031,45740800,1981,7,13,3,0,0,-0.022531999999999996,-28.510331388948636
1981-07-14,0.106027,0.107143,0.106027,0.082505,19779200,1981,7,14,3,0,0,-0.023522,-28.50978728561906
1981-07-15,0.108817,0.109375,0.108817,0.084676,10953600,1981,7,15,3,0,0,-0.024140999999999996,-28.509849307950297
1981-07-16,0.111607,0.112723,0.111607,0.086847,15232000,1981,7,16,3,0,0,-0.024760000000000004,-28.509908229414954
1981-07-17,0.115513,0.116071,0.115513,0.089886,19824000,1981,7,17,3,0,0,-0.02562700000000001,-28.510557817680187
1981-07-20,0.108259,0.108259,0.107701,0.083807,23654400,1981,7,20,3,0,0,-0.024451999999999988,-29.17656043051295
1981-07-21,0.107701,0.107701,0.107143,0.083373,31942400,1981,7,21,3,0,0,-0.024328000000000002,-29.17971045782208
1981-07-22,0.102121,0.102121,0.101004,0.078596,22668800,1981,7,22,3,0,0,-0.023525000000000004,-29.931548679322105
1981-07-23,0.103795,0.104353,0.103795,0.080768,34451200,1981,7,23,3,0,0,-0.023026999999999992,-28.51005348652931
1981-07-24,0.107143,0.107701,0.107143,0.083373,28851200,1981,7,24,3,0,0,-0.02377,-28.510429035778966
1981-07-27,0.111607,0.112165,0.111607,0.086847,17337600,1981,7,27,3,0,0,-0.024760000000000004,-28.509908229414954
1981-07-28,0.108259,0.108259,0.107701,0.083807,22848000,1981,7,28,3,0,0,-0.024451999999999988,-29.17656043051295
1981-07-29,0.106585,0.106585,0.106027,0.082505,15500800,1981,7,29,3,0,0,-0.024080000000000004,-29.18610993273136
1981-07-30,0.109933,0.111049,0.109933,0.085544,9900800,1981,7,30,3,0,0,-0.024389000000000008,-28.510474141962046
1981-07-31,0.111607,0.112165,0.111607,0.086847,10953600,1981,7,31,3,0,1,-0.024760000000000004,-28.509908229414954
